Kategori: Semua kategori

Wilayah,"dpr: (03/01/24, 07.36 - 03/01/24, 11.36)"
Maluku,100
Sumatera Barat,84
Jambi,82
Daerah Istimewa Yogyakarta,80
Daerah Khusus Ibukota Jakarta,78
Gorontalo,78
Sumatera Utara,74
Aceh,73
Sulawesi Selatan,73
Sulawesi Utara,69
Lampung,68
Sulawesi Tengah,65
Jawa Barat,64
Banten,59
Jawa Timur,57
Bali,56
Riau,55
Jawa Tengah,53
Sumatera Selatan,52
Bengkulu,51
Sulawesi Barat,49
Kalimantan Selatan,49
Kalimantan Utara,49
Kalimantan Tengah,48
Nusa Tenggara Barat,46
Sulawesi Tenggara,42
Nusa Tenggara Timur,41
Kepulauan Riau,41
Kalimantan Barat,37
Kepulauan Bangka Belitung,36
Papua,32
Kalimantan Timur,28
Papua Barat,25
Maluku Utara,24
