name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721118643281,1,0.027951201424002647,0.030519999563694,0,0,63,63,46.1287841796875,0.07272937831075797,27.951200485229492,30.520000457763672,0,0,12,0,0,0,12,9,6,1,273,273,9,100,26,273,1,S4/N77/C3,1571,-653,25,4,4240821235048460,12,256.0310363769531,60,1,240,37,0,4177,4178
CellReports,1721118643281,1,0.04015839844942093,0.0399664007127285,0,0,54,54,69.76261138916016,0.07149985648574834,40.15839767456055,39.966400146484375,0,0,0,0,0,0,0,6,5,1,273,273,11,100,30,273,1,S1/N77/C1,-1601,896,25,1,4240821235048449,1,578.6022338867188,80,1,0,37,0,4177,4178
CellReports,1721118643281,1,0.020288001745939255,0.029585599899291992,0,0,30,30,59.63383102416992,0.06856438485166672,20.288002014160156,29.585599899291992,0,0,0,0,0,0,0,6,3,1,273,273,7,100,21,273,1,S4/N77/C2,1571,-653,25,4,4240821235048459,11,340.2632751464844,69,1,120,37,0,4177,4178
CellReports,1721118643281,1,0.010481600649654865,0.01807279884815216,0,0,49,46,52.88130569458008,0.08179651561373277,10.481600761413574,18.072799682617188,0,0,5,0,0,0,5,9,7,1,273,273,3,100,10,273,1,S3/N77/C3,-152,-673,25,3,4240821235048457,9,188.81529235839844,18,1,240,37,0,4177,4178
CellReports,1721118643281,1,0.012556800618767738,0.014654399827122688,0,0,64,63,59.63383102416992,0.09106904214605407,12.556800842285156,14.654399871826172,0,0,0,0,0,0,0,13,5,1,273,273,18,100,49,273,1,S2/N77/C2,197,610,25,2,4240821235048453,5,258.7390441894531,29,1,120,37,0,4177,4178
CellReports,1721118643281,1,0.07971840351819992,0.04344800114631653,0,0,34,34,103.52522277832031,0.09106435289424204,79.7184066772461,43.448001861572266,0,0,0,0,0,0,0,11,8,1,273,273,20,100,56,273,1,S2/N77/C1,197,610,25,2,4240821235048452,4,770.0384521484375,100,1,0,37,0,4177,4178
CellReports,1721118643281,0,0,0,0,0,27,27,36,0.06122383006573831,0,0,0,0,8,0,0,0,8,8,0,0,273,273,0,0,0,0,1,S3/N77/C2,-152,-673,25,3,4240821235048456,8,0,,1,120,37,0,4177,4178
CellReports,1721118643281,1,0.00996480043977499,0.04344639927148819,0,0,27,27,42.75252151489258,0.05907802843673503,9.964800834655762,43.4463996887207,0,0,2,0,0,0,2,5,1,1,273,273,2,100,7,273,1,S1/N77/C3,-1601,896,25,1,4240821235048451,3,233.08099365234375,100,1,240,37,0,4177,4178
CellReports,1721118643281,1,0.013256000354886055,0.022829599678516388,0,0,69,67,79.89139556884766,0.09690059569899782,13.256000518798828,22.829599380493164,0,0,4,0,0,0,4,10,6,1,273,273,4,100,12,273,1,S1/N77/C2,-1601,896,25,1,4240821235048450,2,296.8429870605469,23,1,120,37,0,4177,4178
CellReports,1721118643281,1,0.010518399998545647,0.040165603160858154,0,0,29,29,49.50504684448242,0.05752213468563623,10.518400192260742,40.16560363769531,0,0,0,0,0,0,0,5,2,1,273,273,2,100,7,273,1,S4/N77/C1,1571,-653,25,4,4240821235048458,10,384.9466247558594,6,1,0,37,0,4177,4178
CellReports,1721118643281,1,0.01047040056437254,0.039261601865291595,0,0,30,30,46.1287841796875,0.05215575491240495,10.4704008102417,39.261600494384766,0,0,0,0,0,0,0,5,2,1,273,273,2,100,7,273,1,S3/N77/C1,-152,-673,25,3,4240821235048455,7,253.79380798339844,52,1,0,37,0,4177,4178
CellReports,1721118643281,1,0.037933599203825,0.03808959946036339,0,0,65,65,52.88130569458008,0.0662629000625187,37.933597564697266,38.089599609375,0,0,0,0,0,0,0,8,6,1,273,273,10,100,27,273,1,S2/N77/C3,197,610,25,2,4240821235048454,6,324.74237060546875,77,1,240,37,0,4177,4178
CellReports,1721118642276,1,0.011707199737429619,0.039843201637268066,0,0,30,30,46.1287841796875,0.05214294136131797,11.707200050354004,39.84320068359375,0,0,0,0,0,0,0,5,2,1,273,273,3,100,8,273,1,S3/N77/C1,-152,-673,25,3,4240821235048455,7,265.74298095703125,58,1,0,37,0,4176,4177
