name,time (ms),CARR.AverageLayersDl,DRB.UEThpDl,DRB.UEThpUl,MM.HoExeInterReq,MM.HoExeInterSucc,MM.HoExeIntraReq,MM.HoExeIntraSucc,PEE.AvgPower,PEE.Energy,QosFlow.TotPdcpPduVolumeDl,QosFlow.TotPdcpPduVolumeUl,RRC.ConnEstabAtt.mo-Data,RRC.ConnEstabAtt.mo-VideoCall,RRC.ConnEstabAtt.mo-VoiceCall,RRC.ConnEstabFailCause.NetworkReject,RRC.ConnEstabSucc.mo-Data,RRC.ConnEstabSucc.mo-VideoCall,RRC.ConnEstabSucc.mo-VoiceCall,RRC.ConnMax,RRC.ConnMean,RRU.MaxLayerDlMimo,RRU.PrbAvailDl,RRU.PrbAvailUl,RRU.PrbTotDl,RRU.PrbTotUl,RRU.PrbUsedDl,RRU.PrbUsedUl,Viavi.Cell.AverageBeamsDl,Viavi.Cell.Name,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.GnbDuId,Viavi.NrCgi,Viavi.NrPci,Viavi.PEE.EnergyEfficiency,Viavi.QoS.Score,Viavi.Radio.antennaType,Viavi.Radio.azimuth,Viavi.Radio.power,Viavi.isEnergySaving,_FrameCnt,_Ns3FrameCnt
CellReports,1721196526616,1,0.02967119961977005,0.038068801164627075,0,0,18,18,63.01008987426758,0.015057883061998966,29.671199798583984,38.06880187988281,0,0,0,0,0,0,0,7,6,1,273,273,8,100,24,273,1,S8/N77/C3,753,-1161,25,8,4240821235048472,24,470.89599609375,61,1,240,37,0,985,986
CellReports,1721196526616,1,0.01992960087954998,0.04344960302114487,0,0,11,11,52.88130569458008,0.016559381492083813,19.929601669311523,43.44960403442383,0,0,0,0,0,0,0,6,2,1,273,273,5,100,14,273,1,S1/N77/C1,-1655,1065,25,1,4240821235048449,1,376.87420654296875,100,1,0,37,0,985,986
CellReports,1721196526616,1,0.01992960087954998,0.04344960302114487,0,0,14,14,52.88130569458008,0.0145626980706907,19.929601669311523,43.44960403442383,0,0,0,0,0,0,0,5,2,1,273,273,5,100,14,273,1,S8/N77/C2,753,-1161,25,8,4240821235048471,23,376.87420654296875,100,1,120,37,0,985,986
CellReports,1721196526616,1,0.029894400388002396,0.04344960302114487,0,0,11,11,59.63383102416992,0.013091210852200472,29.894399642944336,43.44960403442383,0,0,0,0,0,0,0,7,3,1,273,273,7,100,21,273,1,S7/N77/C3,-548,-1209,25,7,4240821235048469,21,501.2993469238281,100,1,240,37,0,985,986
CellReports,1721196526616,0,0,0,0,0,22,22,36,0.016053880146789778,0,0,0,0,0,0,0,0,0,8,0,0,273,273,0,0,0,0,1,S6/N77/C2,-1654,-890,25,6,4240821235048465,17,0,,1,120,37,0,985,986
CellReports,1721196526616,1,0.05586560443043709,0.043136000633239746,0,0,36,36,63.01008987426758,0.0162001848033127,55.865604400634766,43.13600158691406,0,0,0,0,0,0,0,8,6,1,273,273,14,100,39,273,1,S3/N77/C3,1042,1095,25,3,4240821235048457,9,527.4202880859375,93,1,240,37,0,985,986
CellReports,1721196526616,1,0.026786401867866516,0.01944960094988346,0,0,17,17,86.6439208984375,0.02522887024142977,26.786401748657227,19.449600219726562,0,0,0,0,0,0,0,11,6,1,273,273,15,100,42,273,1,S3/N77/C2,1042,1095,25,3,4240821235048456,8,308.87799072265625,56,1,120,37,0,985,986
CellReports,1721196526616,1,0.01208560075610876,0.03863999992609024,0,0,13,13,49.50504684448242,0.015025058299317625,12.085600852966309,38.63999938964844,0,0,0,0,0,0,0,6,2,1,273,273,3,100,9,273,1,S6/N77/C1,-1654,-890,25,6,4240821235048464,16,291.02490234375,60,1,0,37,0,985,986
CellReports,1721196526616,1,0.05978880450129509,0.04344959929585457,0,0,11,11,79.89139556884766,0.018720188726883965,59.78880310058594,43.44960021972656,0,0,0,0,0,0,0,8,6,1,273,273,15,100,42,273,1,S3/N77/C1,1042,1095,25,3,4240821235048455,7,658.9445190429688,100,1,0,37,0,985,986
CellReports,1721196526616,1,0.020652800798416138,0.022726399824023247,0,0,16,16,69.76261138916016,0.021571253828356503,20.652801513671875,22.72640037536621,0,0,0,0,0,0,0,6,4,1,273,273,10,100,28,273,1,S2/N77/C3,-500,1136,25,2,4240821235048454,6,295.9522399902344,54,1,240,37,0,985,986
CellReports,1721196526616,1,0.006930400151759386,0.02680160105228424,0,0,26,26,42.75252151489258,0.015061634463448272,6.930400371551514,26.80160140991211,0,0,0,0,0,0,0,9,2,1,273,273,2,100,8,273,1,S7/N77/C2,-548,-1209,25,7,4240821235048468,20,162.5354461669922,70,1,120,37,0,985,986
CellReports,1721196526616,1,0.0373711995780468,0.04063360020518303,0,0,25,25,56.257568359375,0.017471909894627376,37.37120056152344,40.63359832763672,0,0,0,0,0,0,0,8,5,1,273,273,10,100,28,273,1,S5/N77/C3,1425,-88,25,5,4240821235048463,15,434.8428039550781,75,1,240,37,0,985,986
CellReports,1721196526616,1,0.036114402115345,0.02263999730348587,0,0,23,23,96.772705078125,0.024019043274028602,36.114402770996094,22.639997482299805,0,0,0,0,0,0,0,9,7,1,273,273,18,100,49,273,1,S2/N77/C2,-500,1136,25,2,4240821235048453,5,373.4607238769531,61,1,120,37,0,985,986
CellReports,1721196526616,1,0.050377603620290756,0.04256400093436241,0,0,15,15,86.6439208984375,0.020129777821460634,50.37760543823242,42.56399917602539,0,0,0,0,0,0,0,9,6,1,273,273,12,100,35,273,1,S2/N77/C1,-500,1136,25,2,4240821235048452,4,690.0519409179688,84,1,0,37,0,985,986
CellReports,1721196526616,1,0.030221600085496902,0.04115600138902664,0,0,19,19,49.50504684448242,0.019768705431965038,30.221599578857422,41.156002044677734,0,0,0,0,0,0,0,11,5,1,273,273,8,100,21,273,1,S5/N77/C2,1425,-88,25,5,4240821235048462,14,302.54693603515625,60,1,120,37,0,985,986
