name,time (ms),DRB.EstabSucc,DRB.UECqiDl,DRB.UECqiUl,DRB.UEThpDl,DRB.UEThpUl,QF.EstabAttNbr,QF.EstabSuccNbr,QF.RelActNbr,QF.ReleaseAttNbr,RRU.PrbUsedDl,RRU.PrbUsedUl,SM.PDUSessionSetupReq,SM.PDUSessionSetupSucc,TB.TotNbrDl,TB.TotNbrUl,Viavi.CA.cells,Viavi.Cell.Name,Viavi.Cell.beam,Viavi.Geo.x,Viavi.Geo.y,Viavi.Geo.z,Viavi.QoS.5qi,Viavi.QoS.Priority,Viavi.QoS.Score,Viavi.UE.Name,Viavi.UE.RsSinr,Viavi.UE.Rsrp,Viavi.UE.Rsrq,Viavi.UE.Slice,Viavi.UE.anomalies,Viavi.UE.targetThroughputDl,Viavi.mMIMO.Beamforming,Viavi.mMIMO.Group,Viavi.mMIMO.Type,_QF.AbnormDuration,_QF.NormDuration,neighbor,report
UEReports,1721205403029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,15124,1636,1,S2/N77/C2,3,460,600,2,1,20,100,Pedestrian-4,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205403029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15164,1676,1,S1/N77/C2,3,-1100,204,2,1,20,100,Pedestrian-3,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205403029,,0,0,0.0003583999932743609,0.0009280000231228769,,,,,7,136,,,12263,1682,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205403029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205402029,,0,0,0.0003615999885369092,0.0009280000231228769,,,,,7,136,,,12245,1680,1,S2/N77/C2,6,1325,288,4,1,20,7,Indoor-2,-12.924651145935059,-135.1534423828125,-23.93247413635254,eMBB,0,0.004999999888241291,Digital,1,CSI-RS,,,,serving
UEReports,1721205402029,,,,0,,,,,,,,,,,,,(idle),,-1066,-931,2,,,,Indoor-1,,,,eMBB,0,0,,,,,,,serving
UEReports,1721205402029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15146,1674,1,S1/N77/C2,3,-1100,200,2,1,20,100,Pedestrian-3,38.075347900390625,-84.1534423828125,-10.792489051818848,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205402029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,15106,1634,1,S2/N77/C2,3,463,600,2,1,20,100,Pedestrian-4,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205401029,,15,15,0.00996480043977499,0.04344639927148819,,,,,7,273,,,15128,1672,1,S1/N77/C2,3,-1100,204,2,1,20,100,Pedestrian-3,40.075347900390625,-82.1534423828125,-10.79223918914795,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
UEReports,1721205401029,,15,15,0.00996480043977499,0.021804800257086754,,,,,7,137,,,15088,1632,1,S2/N77/C2,3,466,600,2,1,20,100,Pedestrian-4,45.075347900390625,-77.1534423828125,-10.791947364807129,eMBB,0,0.009999999776482582,Digital,1,CSI-RS,,,,serving
